iter	RMSE
0	1.530141345
1	1.410941673
2	1.30070991
3	1.201037859
4	1.114205646
5	1.037401369
6	0.9677397379
7	0.9059348751
8	0.8469561639
9	0.7990816243
10	0.7543836548
11	0.716421952
12	0.6801653325
13	0.6492979421
14	0.6234443539
15	0.597086758
16	0.573150627
17	0.5538395639
18	0.5363103499
19	0.5198895748
20	0.5040273864
21	0.4900195033
22	0.4791170801
23	0.4689194964
24	0.458463703
25	0.4499580753
26	0.4423254704
27	0.4373731645
28	0.4316142903
29	0.425420063
30	0.4207078189
31	0.415683822
32	0.4099425654
33	0.4057964817
34	0.4023718566
35	0.3988665502
36	0.3958723366
37	0.3930197895
38	0.3903372084
39	0.3881522006
40	0.3853572507
41	0.3835721441
42	0.3820317986
43	0.3798498492
44	0.3766293777
45	0.3744979686
46	0.3717845406
47	0.3696440873
48	0.3680854855
49	0.3663703309
50	0.3638685246
51	0.3614928121
52	0.360502432
53	0.359294707
54	0.3585017967
55	0.3557959657
56	0.3540941878
57	0.351476769
58	0.3493331431
59	0.3485055318
60	0.3477729911
61	0.3470945603
62	0.3445871177
63	0.3426398275
64	0.341379504
65	0.3402781503
66	0.337587624
67	0.3359737436
68	0.3351273262
69	0.3337152051
70	0.3328735152
71	0.3300650846
72	0.3281645615
73	0.3273737647
74	0.3255258449
75	0.3233379419
76	0.3221448594
77	0.3210808919
78	0.3200027398
79	0.3183043855
80	0.3170556459
81	0.3163274497
82	0.3155342339
83	0.3148711102
84	0.3131568323
85	0.3112386821
86	0.3105854807
87	0.3082464567
88	0.3069846047
89	0.3056707248
90	0.3043426723
91	0.3034629877
92	0.3029908467
93	0.3005424594
94	0.299298633
95	0.2981466279
96	0.2971159023
97	0.2961160709
98	0.2952722255
99	0.2933640266
100	0.2923134247
101	0.2902996766
102	0.2886520106
103	0.2871628314
104	0.2855078456
105	0.2850263164
106	0.2838945144
107	0.2829429113
108	0.281997238
109	0.2816395678
110	0.2806581402
111	0.2790893704
112	0.2783307745
113	0.2778695915
114	0.2763468782
115	0.2756567534
116	0.2750221142
117	0.2744429081
118	0.273778329
119	0.2731808401
120	0.2717038516
121	0.2710018952
122	0.2699184862
123	0.2687384155
124	0.2682044449
125	0.2673477043
126	0.2668100227
127	0.2658277401
128	0.2655623093
129	0.2651926455
130	0.26442214
131	0.2637903927
132	0.2636158406
133	0.2629820005
134	0.262345384
135	0.2618411433
136	0.2614256757
137	0.2606946328
138	0.2597294737
139	0.2583615544
140	0.2577633648
141	0.2572071962
142	0.2567887132
143	0.2561260748
144	0.2549338434
145	0.2542927546
146	0.2538689624
147	0.2527881229
148	0.2516365054
149	0.2510984389
150	0.2505830774
151	0.2501070301
152	0.2498345585
153	0.2486538224
154	0.2483508452
155	0.2475861753
156	0.2470051451
157	0.2464268272
158	0.2456571094
159	0.2453208976
160	0.2446735424
161	0.2441762566
162	0.2438031489
163	0.2434674912
164	0.2432537167
165	0.2427993092
166	0.2423296631
167	0.2419174109
168	0.2413114152
169	0.2408176369
170	0.2404053124
171	0.2402096919
172	0.2394633397
173	0.2390659567
174	0.2381426832
175	0.2377575965
176	0.2371991511
177	0.2366818502
178	0.2360613308
179	0.2353448757
180	0.2348297367
181	0.2342022239
182	0.2333988601
183	0.232910424
184	0.2323548938
185	0.2321270777
186	0.2314045475
187	0.2309935936
188	0.2306282747
189	0.2303015806
190	0.2298870978
191	0.2293663599
192	0.2290866009
193	0.2284136571
194	0.2280372885
195	0.2275931
196	0.227146343
197	0.2269373264
198	0.226541661
199	0.2261798016
200	0.2258938526
201	0.2256362216
202	0.2253361354
203	0.2250191859
204	0.2247914764
205	0.2244929433
206	0.2241068071
207	0.2238312579
208	0.2235489591
209	0.2232650504
210	0.2230518108
211	0.2226239348
212	0.2223117944
213	0.2220115181
214	0.2217536695
215	0.2212700429
216	0.2210240821
217	0.2208116938
218	0.2203543215
219	0.2201867898
220	0.2197201039
221	0.2194464964
222	0.2191989515
223	0.2186837812
224	0.2183836324
225	0.2178451303
226	0.2173749756
227	0.2170973334
228	0.2169012382
229	0.2165841032
230	0.2162871506
231	0.2160307595
232	0.215697134
233	0.2154522676
234	0.2152866911
235	0.2150825694
236	0.2148813292
237	0.2145859246
238	0.2143003921
239	0.2139563713
240	0.2136843084
241	0.2133465738
242	0.2130304286
243	0.2127941065
244	0.2125748762
245	0.2123244929
246	0.2119680101
247	0.2117476715
248	0.2114023307
249	0.2110206588
250	0.2105759876
251	0.2102781746
252	0.2100387605
253	0.2097705479
254	0.2095970497
255	0.2093373877
256	0.2091554198
257	0.2088239154
258	0.2084264704
259	0.2082203128
260	0.2079929014
261	0.2077464163
262	0.2074875829
263	0.2071324608
264	0.2070105949
265	0.2066406725
266	0.2064879565
267	0.2061832463
268	0.2059518961
269	0.2057018147
270	0.2055860806
271	0.2052759178
272	0.2050219637
273	0.2046018737
274	0.2044822258
275	0.2041660728
276	0.2039170763
277	0.2036541074
278	0.2034842049
279	0.2032311757
280	0.2031050756
281	0.2029068667
282	0.2027707303
283	0.2025802719
284	0.2024078112
285	0.202287371
286	0.2018885972
287	0.2017180181
288	0.2015541513
289	0.2013322533
290	0.2010738396
291	0.2007604333
292	0.2005861288
293	0.2002207983
294	0.1998295867
295	0.1995308752
296	0.1993359854
297	0.1990972748
298	0.1989002435
299	0.1986673731
300	0.1984002168
301	0.1982898175
302	0.1981931843
303	0.1980682376
304	0.1978047534
305	0.1975715081
306	0.1972786975
307	0.197014985
308	0.1967128143
309	0.196195664
310	0.1960067084
311	0.1957269137
312	0.195455993
313	0.1953032103
314	0.1950218912
315	0.1946533161
316	0.194319158
317	0.1939523074
318	0.1937852789
319	0.1935785846
320	0.1933926178
321	0.1931539599
322	0.1928695276
323	0.1927349048
324	0.1925367439
325	0.1923445417
326	0.192123869
327	0.1918010371
328	0.1915738577
329	0.1914538009
330	0.1912573338
331	0.1910700128
332	0.1909087157
333	0.1907815847
334	0.1906533797
335	0.1905208989
336	0.1903805803
337	0.1901948078
338	0.189847719
339	0.1896646645
340	0.1895456334
341	0.1893927639
342	0.1893323034
343	0.1891451605
344	0.188922548
345	0.1886242253
346	0.1884222926
347	0.1883505481
348	0.1882672964
349	0.187987348
350	0.1877800419
351	0.1876483618
352	0.1875431131
353	0.1871543432
354	0.186938317
355	0.1866845349
356	0.1864156807
357	0.186279774
358	0.186045189
359	0.1859427284
360	0.1858814422
361	0.1856859145
362	0.1855889231
363	0.1853326834
364	0.1850501514
365	0.1849081416
366	0.1845968079
367	0.1844330124
368	0.1843368294
369	0.1840386627
370	0.1836845068
371	0.1835839779
372	0.1833375382
373	0.1831213824
374	0.1829118677
375	0.1826883356
376	0.1825385915
377	0.1822630186
378	0.1819481831
379	0.1817556135
380	0.181615295
381	0.1814736062
382	0.1813492326
383	0.181250064
384	0.1810260502
385	0.1807371703
386	0.1806299226
387	0.180429499
388	0.1801812024
389	0.1800530334
390	0.179947759
391	0.1796937016
392	0.1794899527
393	0.1792901732
394	0.1790500353
395	0.178844875
396	0.1787300885
397	0.1784815479
398	0.178284771
399	0.1781510083
400	0.1778770506
401	0.1777192322
402	0.1775754424
403	0.1774437558
404	0.1772669631
405	0.1770436099
406	0.176942838
407	0.1766824275
408	0.1765074898
409	0.1763308273
410	0.1761561318
411	0.1758994445
412	0.1758150812
413	0.1756037084
414	0.1754403719
415	0.175325438
416	0.1752498067
417	0.1749725162
418	0.1747266607
419	0.1745740607
420	0.1741314628
421	0.1740023021
422	0.1738550021
423	0.1737156048
424	0.1735381131
425	0.1734070668
426	0.1732747241
427	0.1730379682
428	0.1728377261
429	0.1727710168
430	0.1725891643
431	0.1725491091
432	0.1723163775
433	0.1720742796
434	0.1718468449
435	0.1716988344
436	0.1715214408
437	0.171437299
438	0.1712816078
439	0.1711542206
440	0.1710457814
441	0.1709172443
442	0.1707042574
443	0.1705045159
444	0.1703763276
445	0.1703184604
446	0.1702210678
447	0.1700745102
448	0.169906032
449	0.1698064616
450	0.1696927406
451	0.1695211524
452	0.1692991376
453	0.1692093682
454	0.1691238677
455	0.1688937192
456	0.1687570029
457	0.1686075659
458	0.1684564761
459	0.1683526983
460	0.1682437984
461	0.1681120633
462	0.1680372812
463	0.1679182691
464	0.1677639317
465	0.1675210437
466	0.1674300758
467	0.1673724052
468	0.167203756
469	0.167005929
470	0.1669113091
471	0.1667657448
472	0.1666399676
473	0.1665489275
474	0.1664317807
475	0.1663123652
476	0.166245985
477	0.1662037564
478	0.1661306146
479	0.165837535
480	0.1656788928
481	0.1655892723
482	0.1654564003
483	0.1652733378
484	0.1651030706
485	0.1649557598
486	0.1647994508
487	0.1645979428
488	0.1644800651
489	0.1643921332
490	0.1643020286
491	0.1641613183
