iter	Passed	Remaining
0	2	2152
1	4	2030
2	6	1997
3	8	2004
4	10	2027
5	12	2016
6	14	1998
7	16	2013
8	18	2027
9	20	2014
10	22	2003
11	24	1999
12	26	2029
13	28	2014
14	30	2002
15	32	1997
16	34	1984
17	36	1976
18	38	1968
19	40	1965
20	42	1960
21	43	1948
22	45	1939
23	47	1942
24	49	1930
25	51	1924
26	53	1918
27	55	1939
28	58	1953
29	60	1945
30	62	1938
31	64	1936
32	65	1928
33	67	1922
34	69	1916
35	71	1918
36	73	1909
37	75	1910
38	77	1906
39	79	1906
40	81	1898
41	82	1891
42	84	1885
43	86	1884
44	88	1876
45	90	1869
46	92	1865
47	94	1864
48	96	1864
49	97	1858
50	99	1857
51	101	1858
52	103	1853
53	105	1846
54	107	1844
55	109	1843
56	111	1840
57	112	1835
58	114	1828
59	116	1825
60	118	1820
61	119	1814
62	121	1811
63	123	1808
64	125	1805
65	127	1805
66	129	1801
67	131	1797
68	133	1803
69	135	1803
70	137	1797
71	139	1794
72	141	1790
73	142	1787
74	145	1790
75	146	1785
76	148	1780
77	150	1776
78	152	1774
79	154	1772
80	156	1772
81	158	1771
82	160	1768
83	161	1763
84	163	1761
85	165	1759
86	167	1757
87	169	1755
88	171	1753
89	173	1752
90	175	1753
91	177	1751
92	179	1749
93	181	1749
94	183	1751
95	185	1748
96	187	1745
97	189	1742
98	192	1748
99	194	1747
100	195	1744
101	197	1741
102	199	1738
103	201	1735
104	203	1732
105	205	1729
106	207	1728
107	209	1729
108	211	1727
109	213	1723
110	214	1721
111	216	1719
112	218	1718
113	220	1716
114	222	1715
115	224	1714
116	226	1710
117	228	1707
118	230	1705
119	232	1701
120	234	1700
121	236	1699
122	238	1697
123	240	1697
124	242	1694
125	243	1691
126	245	1688
127	247	1686
128	249	1683
129	251	1682
130	253	1680
131	255	1678
132	256	1674
133	258	1671
134	260	1668
135	262	1666
136	264	1664
137	266	1662
138	268	1660
139	270	1659
140	272	1658
141	273	1654
142	275	1651
143	277	1649
144	279	1647
145	281	1647
146	283	1645
147	285	1643
148	287	1643
149	289	1639
150	291	1636
151	292	1633
152	294	1631
153	296	1629
154	298	1627
155	300	1624
156	302	1623
157	304	1620
158	305	1618
159	307	1616
160	309	1614
161	311	1612
162	313	1610
163	315	1609
164	317	1607
165	319	1603
166	321	1601
167	322	1599
168	324	1597
169	326	1595
170	328	1593
171	330	1592
172	332	1589
173	334	1586
174	336	1584
